periodo_dt,periodo,plataforma,total_posts,engagement_total,engagement_promedio,controversia_total,viralidad_promedio,semana_label
2026-05-18 17:04:28.993,2026-W21,facebook,2,179407,89703.5,0,0.0,2026-05-18
2026-05-18 17:04:39.161,2026-W21,facebook,2,1756,878.0,0,0.0,2026-05-18
2026-05-18 17:04:47.806,2026-W21,facebook,1,2225,2225.0,0,0.0,2026-05-18
2026-05-18 17:04:57.785,2026-W21,facebook,1,1092,1092.0,0,0.0,2026-05-18
2026-05-18 17:04:57.816,2026-W21,facebook,1,92007,92007.0,0,0.0,2026-05-18
2026-05-18 17:05:06.365,2026-W21,facebook,1,4600,4600.0,0,0.0,2026-05-18
2026-05-18 17:05:06.366,2026-W21,facebook,1,87,87.0,0,0.0,2026-05-18
2026-05-18 17:05:06.367,2026-W21,facebook,1,3066,3066.0,0,0.0,2026-05-18
2026-05-18 17:05:15.010,2026-W21,facebook,1,1389,1389.0,0,0.0,2026-05-18
2026-05-18 17:05:15.011,2026-W21,facebook,1,933,933.0,0,0.0,2026-05-18
2026-05-18 17:05:24.510,2026-W21,facebook,1,933,933.0,0,0.0,2026-05-18
2026-05-18 17:05:24.540,2026-W21,facebook,1,11800,11800.0,0,0.0,2026-05-18
2026-05-18 17:05:24.541,2026-W21,facebook,1,3500,3500.0,0,0.0,2026-05-18
2026-05-18 17:05:33.093,2026-W21,facebook,1,1372,1372.0,0,0.0,2026-05-18
2026-05-18 17:05:33.094,2026-W21,facebook,1,10200,10200.0,0,0.0,2026-05-18
2026-05-18 17:05:50.888,2026-W21,facebook,1,2405,2405.0,0,0.0,2026-05-18
2026-05-18 17:06:00.342,2026-W21,facebook,1,1330,1330.0,0,0.0,2026-05-18
2026-05-18 17:06:00.343,2026-W21,facebook,1,11000,11000.0,0,0.0,2026-05-18
2026-05-18 17:06:09.572,2026-W21,facebook,1,528000,528000.0,0,0.0,2026-05-18
2026-05-18 17:06:09.573,2026-W21,facebook,1,314000,314000.0,0,0.0,2026-05-18
2026-05-18 17:06:40.193,2026-W21,facebook,1,4600,4600.0,0,0.0,2026-05-18
